date,fpi_equity_net_cr,fpi_equity_net_usd_mn,fpi_total_net_cr,unit,source,source_url,fetched_at
2026-01-01,-4568.72,-508.09,-2166.74,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:18
2026-01-02,-3039.52,-337.81,-3182.21,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:19
2026-01-05,646.8,71.77,2989.36,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:19
2026-01-06,737.37,81.68,123.25,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:20
2026-01-07,-16.44,-1.82,-904.49,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:21
2026-01-08,-1839.01,-204.46,229.47,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:22
2026-01-09,-3709.81,-412.69,-4351.61,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:23
2026-01-12,-3686.99,-409.03,-3323.47,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:24
2026-01-13,-3108.35,-344.65,-1407.3,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:25
2026-01-14,-429.85,-47.61,-4491.06,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:26
2026-01-16,-3515.33,-389.72,-3613.49,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:27
2026-01-19,-4542.94,-501.16,-4794.45,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:28
2026-01-20,-2062.07,-226.68,479.52,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:29
2026-01-21,-1210.45,-132.96,-792.1,INR_crore (USD mn for *_usd_mn),NSDL_FPI_archive,https://www.fpi.nsdl.co.in/web/Reports/Archive.aspx,2026-07-21T02:14:30
