Date,Adj Close,Close,High,Low,Open,Volume
2026-01-02,11421.849609375,11421.849609375,11433.7998046875,11276.0498046875,11280.099609375,1533300
2026-01-05,11490.7998046875,11490.7998046875,11532.099609375,11429.25,11469.849609375,1726700
2026-01-06,11524.0498046875,11524.0498046875,11652.7001953125,11475.599609375,11533.0,1925500
2026-01-07,11524.0,11524.0,11612.25,11492.150390625,11567.150390625,1720500
2026-01-08,11132.0,11132.0,11517.75,11107.150390625,11517.4501953125,2323400
2026-01-09,11094.7998046875,11094.7998046875,11208.099609375,11036.5498046875,11110.650390625,1946900
2026-01-12,11315.75,11315.75,11335.4501953125,11048.25,11162.150390625,1853200
2026-01-13,11355.2001953125,11355.2001953125,11440.9501953125,11267.5498046875,11366.7998046875,1321900
2026-01-14,11661.400390625,11661.400390625,11717.5498046875,11352.2001953125,11399.400390625,2792700
2026-01-16,11600.0498046875,11600.0498046875,11729.650390625,11551.5,11696.25,1582200
2026-01-19,11593.0498046875,11593.0498046875,11649.2998046875,11557.25,11603.5,1333000
2026-01-20,11374.4501953125,11374.4501953125,11692.5498046875,11347.9501953125,11614.4501953125,1793800
2026-01-21,11438.9501953125,11438.9501953125,11474.0498046875,11246.9501953125,11376.650390625,1836200
2026-01-22,11573.7001953125,11573.7001953125,11685.849609375,11468.599609375,11514.900390625,2007100
2026-01-23,11477.7998046875,11477.7998046875,11783.900390625,11460.75,11673.9501953125,2115600
2026-01-27,11829.650390625,11829.650390625,11865.599609375,11579.599609375,11710.599609375,2250600
2026-01-28,12106.4501953125,12106.4501953125,12158.900390625,11828.5498046875,11911.0498046875,3143900
2026-01-29,12478.0498046875,12478.0498046875,12509.75,12188.5498046875,12193.849609375,4500900
2026-01-30,11827.5498046875,11827.5498046875,12265.2001953125,11776.25,12265.2001953125,4114800
2026-02-02,11561.5498046875,11561.5498046875,11596.349609375,11227.900390625,11343.099609375,2731500
2026-02-03,11893.2001953125,11893.2001953125,12041.349609375,11746.25,11984.5498046875,2412300
2026-02-04,12044.25,12044.25,12104.2998046875,11937.5,11959.7001953125,1938900
2026-02-05,11921.2001953125,11921.2001953125,11934.150390625,11726.099609375,11838.2001953125,1786500
2026-02-06,11943.150390625,11943.150390625,11959.5498046875,11756.0,11823.75,1542300
2026-02-09,12129.4501953125,12129.4501953125,12243.150390625,12019.75,12129.0498046875,1802300
2026-02-10,12228.2998046875,12228.2998046875,12287.599609375,12098.0,12194.099609375,2060100
2026-02-11,12276.5498046875,12276.5498046875,12291.349609375,12175.7998046875,12278.5,1410200
2026-02-12,12279.2001953125,12279.2001953125,12325.099609375,12206.4501953125,12257.2998046875,1221400
2026-02-13,11872.7998046875,11872.7998046875,12086.5,11841.25,12073.900390625,1452200
2026-02-16,11955.0,11955.0,11970.400390625,11749.099609375,11776.5498046875,856000
2026-02-17,11828.400390625,11828.400390625,11921.650390625,11713.0498046875,11903.25,1030900
2026-02-18,11985.75,11985.75,12002.400390625,11844.7001953125,11856.099609375,1235200
2026-02-19,11842.400390625,11842.400390625,12098.25,11799.650390625,12079.4501953125,1044500
2026-02-20,11989.9501953125,11989.9501953125,12029.599609375,11812.25,11856.349609375,1086100
2026-02-23,11962.75,11962.75,12112.900390625,11875.2998046875,12109.7998046875,1014900
2026-02-24,12073.849609375,12073.849609375,12102.150390625,11912.4501953125,11934.4501953125,1403300
2026-02-25,12399.400390625,12399.400390625,12430.150390625,12155.4501953125,12180.9501953125,2204100
2026-02-26,12448.0,12448.0,12457.0,12348.900390625,12453.4501953125,1174600
2026-02-27,12240.650390625,12240.650390625,12437.599609375,12217.7998046875,12416.5498046875,1220700
2026-03-02,12269.7998046875,12269.7998046875,12344.7998046875,11896.0,11909.900390625,1405600
2026-03-04,11779.75,11779.75,12105.2001953125,11671.5,12073.0,2226700
2026-03-05,12049.2001953125,12049.2001953125,12200.900390625,11849.599609375,11861.0498046875,1913000
2026-03-06,12000.4501953125,12000.4501953125,12166.2998046875,11922.349609375,12013.650390625,1258700
2026-03-09,11688.7998046875,11688.7998046875,11803.849609375,11516.650390625,11751.7001953125,1444000
2026-03-10,11868.5,11868.5,11907.4501953125,11688.4501953125,11835.349609375,1026600
2026-03-11,11822.099609375,11822.099609375,12103.9501953125,11793.650390625,11929.2001953125,1157800
2026-03-12,11863.900390625,11863.900390625,11917.5,11580.900390625,11833.75,1107400
2026-03-13,11292.5,11292.5,11817.099609375,11249.5,11801.150390625,1679700
