Date,Adj Close,Close,High,Low,Open,Volume
2026-01-02,22790.900390625,22790.900390625,22803.650390625,22578.69921875,22649.650390625,13771200
2026-01-05,22743.400390625,22743.400390625,22930.69921875,22706.05078125,22810.44921875,16653300
2026-01-06,23126.849609375,23126.849609375,23149.94921875,22764.849609375,22791.05078125,17554400
2026-01-07,23286.25,23286.25,23492.55078125,23021.80078125,23117.05078125,32875100
2026-01-08,22962.55078125,22962.55078125,23260.25,22927.30078125,23260.25,18166800
2026-01-09,22761.0,22761.0,22989.849609375,22696.44921875,22961.099609375,16394300
2026-01-12,22668.44921875,22668.44921875,22769.80078125,22392.5,22758.0,17724700
2026-01-13,22562.30078125,22562.30078125,22742.69921875,22392.25,22708.05078125,20442600
2026-01-14,22505.400390625,22505.400390625,22580.849609375,22413.900390625,22571.05078125,19297500
2026-01-16,22217.05078125,22217.05078125,22484.349609375,22175.19921875,22456.599609375,22142800
2026-01-19,22136.25,22136.25,22213.19921875,21910.400390625,22119.150390625,20105100
2026-01-20,21714.30078125,21714.30078125,22130.400390625,21668.599609375,22128.44921875,29817400
2026-01-21,21584.400390625,21584.400390625,21970.400390625,21477.94921875,21743.94921875,22934400
2026-01-22,21928.0,21928.0,22030.55078125,21726.400390625,21738.19921875,22518200
2026-01-23,21722.25,21722.25,22033.5,21676.400390625,22007.05078125,24837400
2026-01-27,21788.44921875,21788.44921875,21898.349609375,21632.80078125,21891.80078125,26700400
2026-01-28,21739.849609375,21739.849609375,21903.849609375,21622.94921875,21828.0,19478300
2026-01-29,21564.0,21564.0,21798.0,21467.349609375,21781.05078125,39232700
2026-01-30,21715.099609375,21715.099609375,21768.900390625,21396.349609375,21544.5,28223600
2026-02-02,21549.55078125,21549.55078125,21640.599609375,21188.55078125,21629.80078125,20520800
2026-02-03,22200.25,22200.25,22564.099609375,22086.05078125,22470.349609375,32396400
2026-02-04,22125.80078125,22125.80078125,22323.75,22009.849609375,22275.80078125,18214100
2026-02-05,22119.900390625,22119.900390625,22163.849609375,21919.0,22138.900390625,14720100
2026-02-06,21961.349609375,21961.349609375,22103.94921875,21810.25,22094.5,13247100
2026-02-09,22290.69921875,22290.69921875,22328.599609375,21974.150390625,22126.30078125,18731000
2026-02-10,22210.5,22210.5,22438.25,22161.30078125,22387.400390625,29833100
2026-02-11,22434.19921875,22434.19921875,22581.0,22158.099609375,22280.44921875,18367500
2026-02-12,22386.30078125,22386.30078125,22486.099609375,22248.650390625,22486.099609375,22418600
2026-02-13,22194.900390625,22194.900390625,22408.5,22134.0,22325.900390625,21635900
2026-02-16,22403.150390625,22403.150390625,22457.599609375,22121.69921875,22184.599609375,18233200
2026-02-17,22494.900390625,22494.900390625,22512.75,22318.400390625,22390.900390625,12766900
2026-02-18,22541.94921875,22541.94921875,22584.94921875,22417.30078125,22529.5,14895000
2026-02-19,22429.099609375,22429.099609375,22657.94921875,22375.75,22578.94921875,16020600
2026-02-20,22452.400390625,22452.400390625,22515.0,22320.150390625,22400.44921875,14750800
2026-02-23,22578.55078125,22578.55078125,22608.75,22450.0,22558.80078125,16469900
2026-02-24,22632.05078125,22632.05078125,22692.80078125,22481.650390625,22557.25,18182400
2026-02-25,23051.849609375,23051.849609375,23071.94921875,22617.349609375,22685.5,19540100
2026-02-26,23301.650390625,23301.650390625,23436.94921875,23047.849609375,23106.94921875,26914000
2026-02-27,22952.349609375,22952.349609375,23301.849609375,22917.099609375,23257.80078125,24996500
2026-03-02,22956.69921875,22956.69921875,22994.55078125,22354.099609375,22385.30078125,17940000
2026-03-04,22672.19921875,22672.19921875,22814.349609375,22528.19921875,22702.55078125,21855900
2026-03-05,23005.5,23005.5,23082.80078125,22703.599609375,22703.599609375,16464600
2026-03-06,22970.19921875,22970.19921875,23131.69921875,22877.55078125,23005.05078125,14612700
2026-03-09,22933.75,22933.75,22977.94921875,22506.25,22638.849609375,21116900
2026-03-10,23253.650390625,23253.650390625,23305.099609375,23039.349609375,23042.55078125,21854600
2026-03-11,23348.05078125,23348.05078125,23540.900390625,23283.099609375,23311.75,21875700
2026-03-12,23275.19921875,23275.19921875,23388.0,23083.19921875,23299.69921875,24567700
2026-03-13,22832.19921875,22832.19921875,23317.099609375,22780.650390625,23198.80078125,25787000
2026-03-16,22547.19921875,22547.19921875,22965.25,22369.80078125,22800.150390625,21217200
2026-03-17,22597.55078125,22597.55078125,22733.69921875,22492.94921875,22632.80078125,17216600
2026-03-18,22632.599609375,22632.599609375,22774.75,22584.30078125,22633.69921875,18241900
2026-03-19,22101.650390625,22101.650390625,22503.44921875,22040.55078125,22413.099609375,15180900
2026-03-20,22540.69921875,22540.69921875,22628.55078125,22268.5,22277.94921875,32703500
2026-03-23,22053.099609375,22053.099609375,22462.900390625,21983.69921875,22461.80078125,20528500
2026-03-24,22239.80078125,22239.80078125,22364.30078125,21993.94921875,22305.94921875,22208400
2026-03-25,22679.75,22679.75,22825.55078125,22294.19921875,22381.349609375,21482700
2026-03-27,22565.599609375,22565.599609375,22758.30078125,22484.05078125,22612.69921875,34213800
2026-03-30,22232.25,22232.25,22468.099609375,22205.900390625,22412.900390625,28211900
2026-04-01,22011.599609375,22011.599609375,22782.05078125,21909.349609375,22531.599609375,25245000
2026-04-02,21808.400390625,21808.400390625,21852.0,21149.900390625,21689.94921875,30067900
2026-04-06,21835.349609375,21835.349609375,21867.75,21464.80078125,21779.75,20606500
2026-04-07,21868.69921875,21868.69921875,22022.19921875,21595.400390625,21765.5,31769300
2026-04-08,21991.19921875,21991.19921875,22250.5,21829.599609375,22203.5,29865200
2026-04-09,22135.400390625,22135.400390625,22216.05078125,21953.75,21954.80078125,20198600
2026-04-10,22164.849609375,22164.849609375,22191.650390625,21932.80078125,22127.80078125,23831100
2026-04-13,22100.099609375,22100.099609375,22183.5,21846.05078125,21971.69921875,21182600
2026-04-15,22435.650390625,22435.650390625,22456.19921875,22142.5,22321.099609375,25523500
2026-04-16,22465.0,22465.0,22593.0,22304.349609375,22577.55078125,22642600
2026-04-17,22497.25,22497.25,22538.80078125,22390.5,22473.19921875,19693300
2026-04-20,22456.75,22456.75,22563.5,22307.19921875,22544.80078125,13683000
2026-04-21,22438.44921875,22438.44921875,22540.69921875,22423.650390625,22454.099609375,17554900
2026-04-22,22455.44921875,22455.44921875,22510.099609375,22314.349609375,22398.55078125,18275900
2026-04-23,22986.349609375,22986.349609375,23164.099609375,22365.349609375,22443.94921875,92345300
2026-04-24,22580.099609375,22580.099609375,22946.900390625,22537.19921875,22923.69921875,41758800
2026-04-27,23171.849609375,23171.849609375,23258.349609375,22637.25,22648.599609375,51717700
2026-04-28,23158.150390625,23158.150390625,23287.650390625,23090.75,23155.650390625,39790100
2026-04-29,23260.849609375,23260.849609375,23386.150390625,23179.94921875,23273.75,30635200
2026-04-30,23267.69921875,23267.69921875,23375.099609375,23054.849609375,23191.94921875,20887500
2026-05-04,23475.55078125,23475.55078125,23548.94921875,23296.099609375,23371.30078125,21561400
2026-05-05,23568.94921875,23568.94921875,23619.0,23379.099609375,23525.900390625,38038600
